benchmark,topology,k,R,N,n_clean,acc_pct,mean_dyn_kJ,mean_total_tokens,acc_field,source_file
BrowseCompplus,decentralized,50,2,5,50,60.0,90.002,1946753.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k50_R2_N5.jsonl
BrowseCompplus,independent,1,,2,50,18.0,16.568,18952.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k1_N2.jsonl
BrowseCompplus,independent,1,,3,50,16.0,21.617,26663.7,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k1.jsonl
BrowseCompplus,independent,1,,4,50,20.0,23.893,35913.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k1_N4.jsonl
BrowseCompplus,independent,1,,5,50,24.0,20.399,39661.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k1_N5.jsonl
BrowseCompplus,independent,2,,2,50,28.0,15.339,40639.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k2_N2.jsonl
BrowseCompplus,independent,2,,3,50,30.0,18.852,62168.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k2.jsonl
BrowseCompplus,independent,2,,4,50,34.0,19.58,81390.3,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k2_N4.jsonl
BrowseCompplus,independent,2,,5,50,34.0,23.699,104453.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k2_N5.jsonl
BrowseCompplus,independent,3,,2,50,34.0,20.368,82900.3,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k3_N2.jsonl
BrowseCompplus,independent,3,,3,50,42.0,23.727,116306.9,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k3.jsonl
BrowseCompplus,independent,3,,4,50,36.0,25.413,143209.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k3_N4.jsonl
BrowseCompplus,independent,3,,5,50,44.0,32.25,190313.6,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k3_N5.jsonl
BrowseCompplus,independent,5,,2,50,42.0,22.995,160215.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k5_N2.jsonl
BrowseCompplus,independent,5,,3,50,46.0,29.54,212061.0,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k5.jsonl
BrowseCompplus,independent,5,,4,50,46.0,42.623,323590.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k5_N4.jsonl
BrowseCompplus,independent,5,,5,50,46.0,49.602,379225.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k5_N5.jsonl
