topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
decentralized,1,2,3,Qwen_Qwen3.5-9B_decentralized_k1.jsonl,50,0,19,38.0,36.17021276595745,13.885591532710361,21.365318101718987,5.405736981736498,47,43764.04255319149,3821.808510638298,False,13.590820431452988,20.883197000741276,5.140240818010684,1044.1598500370637,23.141210240000007,24.199314574339443,5.506512589324327,15.353984929245591,0.022699482171360072,59.75595478978008,104.42084031105041,39442.68,3736.82,43179.5,5.78,12.32,15876860.33
decentralized,2,2,3,Qwen_Qwen3.5-9B_decentralized_k2.jsonl,50,0,38,76.0,76.59574468085107,12.23564563361845,30.769638180089895,4.970304098278774,47,109627.91489361702,5431.531914893617,False,11.958327642275068,30.265053350956475,4.703904271023834,1513.2526675478236,33.95870172,36.2340066894353,20.517200005600447,9.708923288282143,0.03893005707387822,75.00973330453039,153.56585850227623,103152.58,5346.16,108498.74,11.64,19.44,37964020.22
decentralized,3,2,3,Qwen_Qwen3.5-9B_decentralized_k3.jsonl,50,0,37,74.0,72.3404255319149,12.926782220832864,37.40212866829697,7.668635592646671,47,140239.46808510637,6541.893617021276,False,12.281758831698331,37.24045575915113,7.318645245098333,1862.0227879575566,41.260267160000005,43.14522973812967,30.80604245396332,6.385853067891816,0.04856023729600829,84.57536016713829,186.00968043521047,131354.38,6523.5,137877.88,13.04,20.82,59627939.51
decentralized,5,2,3,Qwen_Qwen3.5-9B_decentralized_k5.jsonl,50,0,43,86.0,85.1063829787234,10.288648096154587,44.70872725430026,9.11369576368065,47,176854.02127659574,8157.829787234043,False,9.715636880822585,44.80872213259526,8.843456906295424,2240.436106629763,51.61976658,55.07954537971719,39.748395130060764,5.011645854467347,0.04868114806715607,111.34217351816595,232.7012391128391,166884.8,8172.04,175056.84,15.7,22.7,83605415.52
decentralized,7,2,3,Qwen_Qwen3.5-9B_decentralized_k7.jsonl,50,0,44,88.0,87.2340425531915,9.643770156545981,45.77160709069009,8.901366568864724,47,197922.3829787234,8119.723404255319,False,9.098923013192275,45.449280514695765,8.646858042454669,2272.4640257347883,50.982565679999986,53.30878782331335,42.6200799355502,2.7699877985556656,0.05921278058986977,107.53528901219369,229.55555839188398,183053.98,8067.1,191121.08,16.06,23.4,77273818.17
decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10.jsonl,50,0,42,84.0,82.97872340425532,10.860669416639777,46.63340864525568,9.15392529863595,47,206451.53191489363,8577.936170212766,False,10.26496955670108,46.82857217525736,9.042873331759186,2341.428608762868,54.24118912,57.8808125465774,44.38553413789747,2.384672902942472,0.058365134417411736,116.87223466034979,244.5074630725011,195732.86,8624.0,204356.86,17.52,24.82,86460481.72
decentralized,15,2,3,Qwen_Qwen3.5-9B_decentralized_k15.jsonl,50,0,42,84.0,82.97872340425532,10.860669416639777,51.56153701450439,10.97336373441793,47,216092.48936170212,9216.851063829787,False,10.26496955670108,50.41665386661788,10.451476969841696,2520.832693330894,56.736508560000004,59.31947954596454,48.10470573850847,2.2502238421696177,0.06172428593978165,124.98746347870677,254.98488675672561,201136.8,9018.42,210155.22,18.14,24.64,93937486.49
decentralized,20,2,3,Qwen_Qwen3.5-9B_decentralized_k20.jsonl,50,0,41,82.0,80.85106382978722,11.370834816554783,48.15082246690797,10.386119555821441,47,202923.17021276595,8568.659574468085,False,10.757248718887185,47.33468754788516,9.90445353885748,2366.734377394258,53.27074415999999,55.69846295982998,45.183874591190325,2.0935461493344936,0.05726680736036485,119.5868178217113,239.50980312313885,188793.1,8431.76,197224.86,16.82,23.62,91094142.34
decentralized,30,2,3,Qwen_Qwen3.5-9B_decentralized_k30.jsonl,50,0,43,86.0,85.1063829787234,10.288648096154587,49.51190886593096,9.62122105974535,47,212605.48936170212,8626.212765957447,False,9.715636880822585,48.523517438183,9.166922550216908,2426.17587190915,53.69901745999999,57.26004326594725,46.34012529984051,2.1167646795459705,0.06662745879651945,119.14080706387759,242.02596851509065,196917.32,8464.84,205382.16,18.38,24.9,84349087.2
decentralized,50,2,3,Qwen_Qwen3.5-9B_decentralized_k50.jsonl,50,0,43,86.0,85.1063829787234,10.288648096154587,50.641354225348636,11.431415064142854,47,212535.17021276595,8894.68085106383,False,9.715636880822585,49.92441060202054,10.884264716172684,2496.2205301010267,55.236452060000005,58.8834464456255,47.58047564829003,2.2762638802052058,0.06767107352530045,119.40137502666563,248.3611068213731,196790.08,8778.28,205568.36,18.02,24.5,97212846.64
