benchmark,sweep,topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv,loose_acc_pct,real_correct_present,real_correct_true,harness_acc_pct,harness_acc_evaluated_only_pct
BrowseCompplus,m_sweep,centralized,10,2,2,Qwen_Qwen3.5-9B_centralized_k10_R2_M2.jsonl,50,0,18,36.0,36.0,13.44,56.174376851074506,9.283729421567944,50,662319.52,6740.9,False,13.44,56.17437685107451,9.283729421567944,2808.7188425537256,64.08819367999997,68.9317957780136,30.69769943057671,25.231279844903405,0.24539757559440087,215.27756138846277,295.1866109213978,655578.62,6740.9,662319.52,32.62,33.78,85519148.67,,,,,
BrowseCompplus,m_sweep,centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,50,0,19,38.0,38.0,13.590820431452988,81.26902819193751,11.597257519100996,50,1025764.3,8799.8,False,13.590820431452988,81.26902819193751,11.597257519100996,4063.4514095968752,89.7612315,96.404108521666,50.47583943004384,30.297881974958074,0.4953067869355924,234.16504334386437,411.5946308749169,1016964.5,8799.8,1025764.3,49.98,49.98,126781603.66,,,,,
BrowseCompplus,m_sweep,centralized,10,2,4,Qwen_Qwen3.5-9B_centralized_k10_R2_M4.jsonl,50,0,21,42.0,42.0,13.819638200763432,95.89187741641715,14.252780460707841,50,1338666.64,9724.04,False,13.819638200763432,95.89187741641716,14.252780460707841,4794.593870820858,107.71701566000002,116.14176842893343,65.53353434979029,29.82690156184429,0.5314415047825751,232.40797179840504,498.56395392231644,1328942.6,9724.04,1338666.64,65.38,65.02,166252972.96,,,,,
BrowseCompplus,m_sweep,centralized,10,2,5,Qwen_Qwen3.5-9B_centralized_k10_R2_M5.jsonl,50,0,23,46.0,46.0,13.955128089702368,119.59869390985384,19.279126201142574,50,1578481.54,12211.14,False,13.955128089702368,119.59869390985382,19.279126201142574,5979.934695492691,134.66688987999999,145.04096356539,82.12066339995341,36.79361927766243,0.6844112322380234,262.4694287913293,620.8364755162224,1566270.4,12211.14,1578481.54,83.52,76.9,227877718.99,,,,,
BrowseCompplus,m_sweep,centralized,10,2,10,Qwen_Qwen3.5-9B_centralized_k10_R2_M10.jsonl,50,0,26,52.0,52.0,13.988795516412415,193.80687909103094,28.0100795402961,50,2968860.66,19650.96,False,13.988795516412415,193.80687909103096,28.0100795402961,9690.343954551548,221.59372064,239.41402243882783,148.49604034016033,44.13381649209728,1.1770222587733596,260.5278524179757,1031.3504558918253,2949209.7,19650.96,2968860.66,158.76,146.8,410429298.72,,,,,
BrowseCompplus,m_sweep,decentralized,10,2,2,Qwen_Qwen3.5-9B_decentralized_k10_R2_M2.jsonl,50,0,16,32.0,32.0,13.061332244453475,83.48005526397785,18.838570052449903,50,824794.46,8516.66,False,13.061332244453475,83.48005526397785,18.838570052449903,4174.002763198892,93.41701114,100.39710469515312,62.22697665006294,20.82179080623536,0.43128780767955227,288.7970395659283,427.5837338002399,816277.8,8516.66,824794.46,55.12,34.78,205437013.07,,,,,
BrowseCompplus,m_sweep,decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10_R2.jsonl,50,0,26,52.0,52.0,13.988795516412415,96.17142369673046,19.387101137284578,50,1089419,9620.96,False,13.988795516412415,96.17142369673046,19.387101137284578,4808.571184836523,107.36994828,115.38671395003814,76.19723089826923,19.475901833743823,0.49829096471740164,242.03682891115545,494.17353395871817,1079798.04,9620.96,1089419.0,70.94,46.2,245924328.2,,,,,
BrowseCompplus,m_sweep,decentralized,10,2,4,Qwen_Qwen3.5-9B_decentralized_k10_R2_M4.jsonl,50,0,23,46.0,46.0,13.955128089702368,120.47944608143735,24.471090334717992,50,1332616.22,12900.8,False,13.955128089702368,120.47944608143735,24.471090334717992,6023.972304071867,142.52214442000002,152.95589909904865,94.61441430104932,25.376909456232347,0.4881223241556444,260.51211486015467,652.6073882037401,1319715.42,12900.8,1332616.22,90.1,59.18,329508343.2,,,,,
BrowseCompplus,m_sweep,decentralized,10,2,5,Qwen_Qwen3.5-9B_decentralized_k10_R2_M5.jsonl,50,0,27,54.0,54.0,13.955128089702368,138.9921277457511,26.146731006108805,50,1372109.12,14612.76,False,13.955128089702368,138.9921277457511,26.146731006108805,6949.606387287556,157.35134860000005,164.67963777792326,106.19712958674985,32.13488803537854,0.6601101236227237,271.12876029964536,720.0568335198238,1357496.36,14612.76,1372109.12,97.2,63.22,381681892.16,,,,,
BrowseCompplus,m_sweep,decentralized,10,2,10,Qwen_Qwen3.5-9B_decentralized_k10_R2_M10.jsonl,50,0,27,54.0,54.0,13.955128089702368,275.07302453263065,43.714381191174134,50,2668573.82,29178.64,False,13.955128089702368,275.0730245326307,43.714381191174134,13753.651226631535,308.2135172800001,322.665775552377,212.42678494085266,61.2482854330316,1.3979541587464814,296.03841476902363,1417.9173053523898,2639395.18,29178.64,2668573.82,188.18,122.4,770072479.88,,,,,
